City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Weather Description
261,Mae Chan,TH,20.1467,99.8526,80.26,97,100,1.03,overcast clouds
262,Half Moon Bay,US,37.4636,-122.4286,79.92,78,100,17.27,mist
263,Pentecoste,BR,-3.7928,-39.2703,87.55,46,51,10.65,broken clouds
264,Taltal,CL,-25.4,-70.4833,60.69,72,44,3.27,scattered clouds
265,Faanui,PF,-16.4833,-151.75,78.37,75,86,20.38,light rain
266,Valparaiso,CL,-33.0393,-71.6273,54.48,89,100,29.93,overcast clouds
267,Veraval,IN,20.9,70.3667,82.18,83,100,20.0,overcast clouds
268,Longyearbyen,SJ,78.2186,15.6401,44.44,70,75,21.85,broken clouds
269,Ucar,AZ,40.519,47.6542,84.16,29,5,12.64,clear sky
270,Narrabri,AU,-30.3167,149.7833,38.55,90,1,5.03,clear sky
271,Maceio,BR,-9.6658,-35.7353,74.64,88,100,10.36,mist
272,Egvekinot,RU,66.3167,-179.1667,40.82,99,100,7.18,light rain
273,Wolnzach,DE,48.6038,11.6257,71.24,54,98,8.05,overcast clouds
274,Port Moresby,PG,-9.4431,147.1797,75.49,91,94,5.64,overcast clouds
275,Doctor Arroyo,MX,23.6667,-100.1833,80.28,36,31,0.89,scattered clouds
276,Bosanska Kostajnica,HR,45.2159,16.5444,67.12,61,53,0.85,broken clouds
277,Ati,TD,13.2154,18.3353,93.45,31,61,5.48,broken clouds
278,Corn Island,NI,12.1694,-83.0418,81.48,82,54,18.16,broken clouds
279,Payson,US,40.0444,-111.7321,95.92,20,0,10.36,clear sky
280,Buala,SB,-8.145,159.5921,78.62,80,67,5.35,broken clouds
281,Lincoln,US,40.8,-96.667,87.28,67,20,6.91,few clouds
282,Ruteng,ID,-8.6136,120.4721,61.72,96,61,4.25,broken clouds
283,Ploemeur,FR,47.7333,-3.4333,82.85,43,0,14.97,clear sky
284,Lavrentiya,RU,65.5833,-171.0,49.05,82,100,6.89,overcast clouds
285,Ahipara,NZ,-35.1667,173.1667,57.4,93,38,5.97,scattered clouds
286,Seminole,US,28.7086,-81.2081,98.15,58,0,9.22,clear sky
287,Nalut,LY,30.3333,10.85,93.94,23,27,18.95,scattered clouds
288,Puerto Leguizamo,CO,-0.1934,-74.7819,75.65,86,99,4.05,overcast clouds
289,Margate,GB,51.3813,1.3862,69.31,70,23,1.99,few clouds
